ACCOUNTID,game_count
200442443,1288
200504280,1288
200517509,1287
200551207,1287
200744783,1286
200753815,1286
200622879,1286
200529691,1285
200428736,1285
200456467,1284
200482532,1284
200472317,1284
200387744,1284
200387381,1283
200385122,1283
200415147,1282
200779591,1282
200805782,1282
200451703,1281
200863832,1281
200449841,1281
200403059,1281
200472216,1281
200387165,1280
200828134,1280
200826904,1280
200841739,1280
200377887,1280
200408545,1280
200373328,1279
200479558,1279
200436343,1278
200429887,1278
200374558,1278
200503243,1278
200455037,1278
200390888,1277
200501772,1276
200403789,1276
200736492,1275
200438174,1275
200630474,1274
200420158,1273
200410542,1273
200374124,1272
200477185,1272
200425956,1272
200413112,1272
200484670,1272
200430635,1271
200908488,1271
200468666,1271
200456396,1271
200406293,1271
200748273,1270
200383289,1269
200717301,1269
200701939,1268
200414446,1268
200541790,1268
200559864,1266
200434302,1266
200569287,1265
200374256,1264
200762605,1263
200398901,1263
200601147,1263
200479948,1263
200753098,1262
200389887,1262
200473453,1262
200403834,1261
200382392,1261
200555898,1260
200419273,1260
200416757,1260
200431946,1259
200690706,1259
200655696,1259
200750848,1258
200375191,1258
200370767,1257
200394322,1257
200480953,1256
200561129,1256
200379935,1256
200394892,1255
200367694,1255
200436281,1254
200729812,1254
200473721,1254
200396283,1253
200485848,1252
200767722,1252
200725919,1252
200541577,1251
200442270,1251
200867503,1251
200380905,1251
200471576,1250
200481555,1250
200732171,1249
200401526,1249
200520314,1248
200857033,1248
200408878,1247
200518911,1247
200532594,1246
200378442,1246
200406332,1246
200508816,1246
200366748,1246
200795572,1245
200371550,1245
200581418,1245
200385282,1245
200545080,1245
200481333,1245
200379924,1245
200452684,1245
200408778,1245
200511064,1244
200421422,1244
200380391,1242
200412695,1242
200531620,1242
200535197,1242
200757205,1242
200441066,1241
200443006,1240
200628402,1240
200758157,1240
200396747,1240
200391081,1239
200399717,1239
200403741,1239
200459759,1239
200381447,1239
200385782,1239
200402626,1239
200372432,1239
200583237,1238
200590345,1238
200427102,1237
200495712,1237
200422285,1237
200880373,1237
200420046,1236
200383865,1236
200456106,1236
200452557,1236
200452238,1235
200417659,1235
200439902,1234
200397882,1234
200741992,1234
200585302,1233
200395411,1233
200418646,1233
200398981,1233
200406324,1232
200591186,1232
200473473,1231
200508435,1231
200629571,1231
200511680,1231
200821599,1230
200446963,1230
200462835,1229
200427856,1229
200399310,1229
200499710,1228
200706764,1227
200755422,1227
200391963,1227
200422221,1227
200787667,1225
200451542,1224
200508214,1224
200493931,1223
200634723,1223
200606107,1223
200463154,1223
200430832,1223
200519843,1223
200425864,1223
200381353,1223
200428487,1222
200380835,1222
200398175,1221
200400942,1221
200455775,1220
200427769,1220
200483614,1220
200492628,1220
200447710,1220
200411455,1220
200405367,1220
200650610,1220
200449670,1220
200439862,1218
200406078,1218
200405511,1218
200447006,1218
200459471,1218
200386311,1217
200514951,1217
200396218,1217
200401845,1217
200478011,1217
200499921,1216
200476723,1216
200415430,1216
200524479,1216
200439241,1216
200467807,1216
200651864,1215
200383579,1215
200663617,1215
200443914,1215
200795581,1215
200417731,1215
200416887,1215
200500738,1214
200471783,1214
200617541,1213
200588760,1213
200837050,1213
200456723,1213
200399790,1213
200376606,1212
200601281,1212
200385068,1212
200503535,1211
200516729,1211
200473745,1211
200618999,1211
200860723,1211
200556169,1210
200458311,1209
200390884,1208
200749585,1208
200546094,1208
200455401,1208
200479854,1207
200481746,1207
200714925,1207
200438733,1206
200426046,1205
200727659,1205
200745910,1205
200392030,1205
200416353,1205
200403990,1205
200465847,1204
200375535,1204
200516370,1203
200830444,1203
200777232,1202
200737633,1202
200595492,1202
200432366,1200
200445626,1200
200534583,1200
200404798,1199
200426192,1199
200377921,1199
200472044,1199
200441763,1199
200380615,1199
200486939,1198
200424086,1198
200631462,1198
200404823,1198
200378292,1198
200492753,1197
200463545,1197
200396419,1197
200820915,1196
200471160,1196
200459477,1196
200447594,1195
200684994,1195
200549765,1195
200695551,1194
200401846,1194
200395015,1194
200618913,1194
200491624,1193
200394271,1193
200646927,1192
200684245,1192
200724969,1192
200560090,1192
200390016,1191
200395180,1191
200386861,1191
200430548,1190
200472690,1190
200438121,1190
200493525,1190
200509692,1190
200649610,1190
200809471,1190
200645465,1189
200428811,1189
200503211,1189
200783073,1189
200594130,1189
200827431,1189
200556886,1188
200411977,1188
200450475,1188
200378908,1188
200453949,1188
200666767,1187
200416206,1187
200395242,1187
200381055,1187
200392919,1186
200590805,1185
200392910,1185
200415009,1185
200438415,1185
200623491,1184
200830894,1184
200391038,1184
200419099,1184
200394920,1183
200451561,1183
200816047,1183
200593775,1183
200493837,1182
200603243,1182
200448969,1181
