metric,phase_local_peak,correction,alpha
PC1,19.337471638665352,Benjamini-Hochberg FDR,0.05
PC1,5.023361877599648,Benjamini-Hochberg FDR,0.05
PC1,0.9308396125351059,Benjamini-Hochberg FDR,0.05
PC1,2.649343301403822,Benjamini-Hochberg FDR,0.05
PC1,0.45168609857329756,Benjamini-Hochberg FDR,0.05
PC1,4.217014599569206,Benjamini-Hochberg FDR,0.05
PC1,17.7116014735239,Benjamini-Hochberg FDR,0.05
PC1,14.663622068143463,Benjamini-Hochberg FDR,0.05
PC1,17.668596138612788,Benjamini-Hochberg FDR,0.05
PC1,23.045629895214695,Benjamini-Hochberg FDR,0.05
PC1,5.177872029202395,Benjamini-Hochberg FDR,0.05
PC1,11.454255476921197,Benjamini-Hochberg FDR,0.05
PC1,0.6038294664409207,Benjamini-Hochberg FDR,0.05
PC1,19.543583864035586,Benjamini-Hochberg FDR,0.05
PC1,1.0158096152749923,Benjamini-Hochberg FDR,0.05
