metric,platform,phase_local_peak
PC1,JP1,11.130821259536436
PC1,JP1,4.649332318947408
PC1,JP1,3.707356242300001
PC1,JP1,18.511518148500613
PC1,JP1,22.970253382024616
PC1,JP1,14.601813958779848
PC1,JP1,8.531568605860613
PC1,JP1,23.038497155629223
PC1,JP1,8.646360222911142
PC1,JP1,10.891294827515493
PC1,JP1,21.863148900515554
PC1,JP1,9.407803772725366
PC1,JP1,20.145004421568807
PC1,JP1,6.152881227473234
PC1,JP1,15.991282199388522
PC1,JP1,19.481125467077963
PC1,JP1,8.647927326233372
PC1,JP1,3.916702427385928
PC1,JP1,20.098426847289133
PC1,JP1,21.102960345329382
PC1,JP1,9.81940394038193
PC1,JP1,13.87377219764858
PC1,JP1,5.605118692520861
PC1,JP1,5.62677676998528
PC1,JP1,8.580282617457073
PC1,JP1,0.0479229961491824
PC1,JP1,18.093073794825383
PC1,JP1,20.171763203584028
PC1,JP1,3.4739050823751825
PC1,JP1,19.333648540407857
PC1,JP1,1.4199986698683809
PC1,JP1,9.043963396660311
PC1,JP1,9.41247436831234
PC1,JP1,21.549958061556
PC1,JP1,20.50026022205256
PC1,JP1,22.27835626877887
PC1,JP1,17.765913991657865
PC1,JP1,6.277770658221542
PC1,JP1,10.231353145169374
PC1,JP1,21.800923305720843
PC1,JP1,4.990427405084773
PC1,JP1,7.298222528608967
PC1,JP1,9.657422697390311
PC1,JP1,7.059373869616756
PC1,JP1,12.293576137237894
PC1,JP1,22.42247733746925
PC1,JP1,22.46511575994259
PC1,JP1,23.905559418523477
PC1,JP1,20.04939819999083
PC1,JP1,14.566256747658532
PC1,JP1,9.626992223591731
PC1,JP1,12.626017595410143
PC1,JP1,10.050960787245597
PC1,JP1,9.745510825674762
PC1,JP1,22.07089964200138
PC1,JP1,7.143774175642633
PC1,JP1,14.228489316321872
PC1,JP1,8.598031949486405
PC1,JP1,9.592449540101166
PC1,JP1,9.800732731698584
PC1,JP1,1.7270575964242738
PC1,JP1,8.484594057556805
PC1,JP1,3.3374121887186696
PC1,JP1,7.773185117095579
PC1,JP1,5.971888727726899
PC1,JP1,6.818908510951605
PC1,JP1,20.636999113792413
PC1,JP1,18.292942939127133
PC1,JP1,16.6863872261489
PC1,JP1,7.311410301276641
PC1,JP1,10.262862949649833
PC1,JP1,18.709723993665
PC1,JP1,7.465011465044615
PC1,JP1,10.942522915509622
PC1,JP1,8.569322955467314
PC1,JP1,13.166677842244098
PC1,JP1,6.991929200619062
PC1,JP1,5.75541253869574
PC1,JP1,11.273411558995976
PC1,JP1,22.426553871287204
PC1,JP1,2.1827452570920407
PC1,JP1,18.61947052378661
PC1,JP1,10.90408612599184
PC1,JP1,9.319055909349666
PC1,JP1,5.463784693397574
PC1,JP1,2.9988070941032348
PC1,JP1,4.095277418941855
PC1,JP1,18.765028481269084
PC1,JP1,9.003227432347005
PC1,JP1,8.272437025348111
PC1,JP1,19.895086591856327
PC1,JP1,1.178800527619405
PC1,JP1,20.302135594913327
PC1,JP1,22.10690572396805
PC1,JP1,6.193797482593627
PC1,JP1,23.75303853237197
PC1,JP1,6.34580435980094
PC1,JP1,4.959262078843764
PC1,JP1,19.36433064682496
PC1,JP1,15.096553655969032
PC1,JP1,1.212347648722222
PC1,JP1,3.8398614228845176
PC1,JP1,19.672379900135503
PC1,JP1,23.545322757334716
PC1,JP1,9.729150873232
PC1,JP1,6.292756878048408
PC1,JP1,8.250780443749555
PC1,JP1,9.67597648010824
PC1,JP1,4.805935954287158
PC1,JP1,10.906265940255684
PC1,JP1,16.79029957427656
PC1,JP1,13.41468445792302
PC1,JP1,16.0182498316656
PC1,JP1,3.5937068161139827
PC1,JP1,18.404130224672905
PC1,JP1,8.638168017352442
PC1,JP1,3.7033229542174055
PC1,JP1,23.31541871975285
PC1,JP1,8.143267691418231
PC1,JP1,8.388875646442841
PC1,JP1,8.747474940164778
PC1,JP1,9.595737956208032
PC1,JP1,21.028898796274653
PC1,JP1,8.294256893470632
PC1,JP1,19.52023289005077
PC1,JP1,20.39904632602422
PC1,JP1,3.915364461695347
PC1,JP1,19.63984856341807
PC1,JP1,20.05950461796036
PC1,JP1,11.24065268247481
PC1,JP1,7.042626956110993
