metric,local_hour,n_servers,weight_col,weight_sum,total_phases,weighted_density,weighted_sd_density,weighted_sem_density,kappa,min_phases
PC1,13.0,8,n_phases,1734.0,1734,0.02803192967900162,0.003549569893411482,0.0016909652866587816,4.0,20
PC1,13.100000000000001,8,n_phases,1734.0,1734,0.0279776775440171,0.003646719910846283,0.0017372461916736303,4.0,20
PC1,13.200000000000001,8,n_phases,1734.0,1734,0.027941057092755597,0.0037737110509579856,0.00179774298877592,4.0,20
PC1,13.3,8,n_phases,1734.0,1734,0.02792181604952174,0.003925292804419679,0.0018699544090018912,4.0,20
PC1,13.4,8,n_phases,1734.0,1734,0.027919672280716325,0.004096566873549384,0.0019515469720728994,4.0,20
PC1,13.5,8,n_phases,1734.0,1734,0.027934319020884422,0.004283171805582173,0.002040442943095321,4.0,20
PC1,13.600000000000001,8,n_phases,1734.0,1734,0.02796543014203153,0.00448134196703635,0.0021348484271210256,4.0,20
PC1,13.700000000000001,8,n_phases,1734.0,1734,0.028012665368566815,0.004687885717015704,0.0022332429712148584,4.0,20
PC1,13.8,8,n_phases,1734.0,1734,0.028075675337916023,0.004900121261223419,0.002334349006207019,4.0,20
PC1,13.9,8,n_phases,1734.0,1734,0.028154106407574542,0.005115796688515292,0.0024370937532291284,4.0,20
PC1,14.0,8,n_phases,1734.0,1734,0.02824760511324533,0.005333009778094222,0.0025405710209870157,4.0,20
PC1,14.100000000000001,8,n_phases,1734.0,1734,0.028355822189695772,0.005550135408593441,0.0026440066244666277,4.0,20
PC1,14.200000000000001,8,n_phases,1734.0,1734,0.028478416075906256,0.005765763638503187,0.0027467288873182054,4.0,20
PC1,14.3,8,n_phases,1734.0,1734,0.02861505583868033,0.005978648922181092,0.0028481444490762713,4.0,20
PC1,14.4,8,n_phases,1734.0,1734,0.028765423463733557,0.006187669665853315,0.0029477189982061195,4.0,20
PC1,14.5,8,n_phases,1734.0,1734,0.02892921547987162,0.006391796828295821,0.003044962313908995,4.0,20
PC1,14.600000000000001,8,n_phases,1734.0,1734,0.029106143899627058,0.0065900701644559774,0.003139416948916794,4.0,20
PC1,14.700000000000001,8,n_phases,1734.0,1734,0.029295936478018876,0.006781580787166716,0.0032306499221373963,4.0,20
PC1,14.8,8,n_phases,1734.0,1734,0.029498336309276632,0.006965458870697477,0.0033182468607988926,4.0,20
PC1,14.9,8,n_phases,1734.0,1734,0.029713100798784343,0.007140865485257921,0.0034018081105217377,4.0,20
PC1,15.0,8,n_phases,1734.0,1734,0.029940000063537114,0.007306987709443552,0.0034809464069564277,4.0,20
