metric,phase_local_peak,correction,alpha
PC1,4.7523326828454575,Benjamini-Hochberg FDR,0.05
PC1,7.07810137662468,Benjamini-Hochberg FDR,0.05
PC1,23.968039424026852,Benjamini-Hochberg FDR,0.05
PC1,19.884097157515615,Benjamini-Hochberg FDR,0.05
PC1,4.843233211502822,Benjamini-Hochberg FDR,0.05
PC1,20.133570468227155,Benjamini-Hochberg FDR,0.05
PC1,22.731593451448838,Benjamini-Hochberg FDR,0.05
PC1,13.45735120045358,Benjamini-Hochberg FDR,0.05
PC1,13.848478993765177,Benjamini-Hochberg FDR,0.05
PC1,6.899439061741342,Benjamini-Hochberg FDR,0.05
PC1,19.560131796461608,Benjamini-Hochberg FDR,0.05
PC1,9.77897555368762,Benjamini-Hochberg FDR,0.05
PC1,23.889494266388514,Benjamini-Hochberg FDR,0.05
PC1,23.184626864843388,Benjamini-Hochberg FDR,0.05
PC1,8.75845491259923,Benjamini-Hochberg FDR,0.05
PC1,19.902774800678458,Benjamini-Hochberg FDR,0.05
PC1,10.888103572411456,Benjamini-Hochberg FDR,0.05
PC1,23.328143119584382,Benjamini-Hochberg FDR,0.05
PC1,17.984050179076736,Benjamini-Hochberg FDR,0.05
PC1,0.360637987933325,Benjamini-Hochberg FDR,0.05
PC1,0.6567863860608556,Benjamini-Hochberg FDR,0.05
PC1,3.5158558669501723,Benjamini-Hochberg FDR,0.05
PC1,0.4070979427583028,Benjamini-Hochberg FDR,0.05
PC1,2.0278021987924664,Benjamini-Hochberg FDR,0.05
PC1,17.95373195969671,Benjamini-Hochberg FDR,0.05
PC1,19.066311085829536,Benjamini-Hochberg FDR,0.05
PC1,10.83339275414246,Benjamini-Hochberg FDR,0.05
PC1,0.7855894963003252,Benjamini-Hochberg FDR,0.05
PC1,6.4010905202919,Benjamini-Hochberg FDR,0.05
PC1,12.425863499419417,Benjamini-Hochberg FDR,0.05
PC1,22.74732837218906,Benjamini-Hochberg FDR,0.05
PC1,19.348628790029085,Benjamini-Hochberg FDR,0.05
PC1,2.8930148280209806,Benjamini-Hochberg FDR,0.05
PC1,19.603325709988994,Benjamini-Hochberg FDR,0.05
PC1,21.67883552856559,Benjamini-Hochberg FDR,0.05
PC1,22.020824043347528,Benjamini-Hochberg FDR,0.05
PC1,0.7572565401345432,Benjamini-Hochberg FDR,0.05
PC1,0.6676256853745883,Benjamini-Hochberg FDR,0.05
PC1,19.09811912822864,Benjamini-Hochberg FDR,0.05
PC1,23.4609555195814,Benjamini-Hochberg FDR,0.05
PC1,2.2217076269664977,Benjamini-Hochberg FDR,0.05
PC1,23.458387493421473,Benjamini-Hochberg FDR,0.05
PC1,17.831595596078344,Benjamini-Hochberg FDR,0.05
PC1,12.623899639666543,Benjamini-Hochberg FDR,0.05
PC1,23.41217267218375,Benjamini-Hochberg FDR,0.05
PC1,10.674831897142914,Benjamini-Hochberg FDR,0.05
PC1,15.263060171840095,Benjamini-Hochberg FDR,0.05
PC1,1.43869765401997,Benjamini-Hochberg FDR,0.05
PC1,16.958925839085683,Benjamini-Hochberg FDR,0.05
PC1,18.960632561067197,Benjamini-Hochberg FDR,0.05
PC1,16.880825738903212,Benjamini-Hochberg FDR,0.05
PC1,3.6675928340521278,Benjamini-Hochberg FDR,0.05
PC1,22.644118686346236,Benjamini-Hochberg FDR,0.05
PC1,22.694035218420613,Benjamini-Hochberg FDR,0.05
PC1,3.7425634035424498,Benjamini-Hochberg FDR,0.05
PC1,3.3748301113126242,Benjamini-Hochberg FDR,0.05
PC1,18.15266690598111,Benjamini-Hochberg FDR,0.05
PC1,16.92940602861715,Benjamini-Hochberg FDR,0.05
PC1,18.924957186229108,Benjamini-Hochberg FDR,0.05
PC1,10.595242168230802,Benjamini-Hochberg FDR,0.05
PC1,6.888065240390713,Benjamini-Hochberg FDR,0.05
PC1,23.646083022767826,Benjamini-Hochberg FDR,0.05
PC1,3.2863210397523765,Benjamini-Hochberg FDR,0.05
PC1,23.259935393921744,Benjamini-Hochberg FDR,0.05
PC1,22.14590688569534,Benjamini-Hochberg FDR,0.05
PC1,10.112185425557277,Benjamini-Hochberg FDR,0.05
PC1,18.778802156853153,Benjamini-Hochberg FDR,0.05
PC1,21.248436048538757,Benjamini-Hochberg FDR,0.05
PC1,21.985174749795334,Benjamini-Hochberg FDR,0.05
PC1,10.484154382269184,Benjamini-Hochberg FDR,0.05
PC1,16.747996880168706,Benjamini-Hochberg FDR,0.05
PC1,6.5550550889850765,Benjamini-Hochberg FDR,0.05
PC1,10.295732561571981,Benjamini-Hochberg FDR,0.05
PC1,22.403485395454002,Benjamini-Hochberg FDR,0.05
PC1,0.325807264385622,Benjamini-Hochberg FDR,0.05
PC1,1.966459767455576,Benjamini-Hochberg FDR,0.05
PC1,15.968277924429465,Benjamini-Hochberg FDR,0.05
PC1,1.6882543566819743,Benjamini-Hochberg FDR,0.05
PC1,15.49993041160312,Benjamini-Hochberg FDR,0.05
PC1,17.278699390344286,Benjamini-Hochberg FDR,0.05
PC1,4.7902141105830935,Benjamini-Hochberg FDR,0.05
PC1,6.649323808967107,Benjamini-Hochberg FDR,0.05
PC1,11.502308271465832,Benjamini-Hochberg FDR,0.05
PC1,23.442857151908413,Benjamini-Hochberg FDR,0.05
PC1,0.7815936874645883,Benjamini-Hochberg FDR,0.05
PC1,22.781391346648373,Benjamini-Hochberg FDR,0.05
PC1,20.561867572967206,Benjamini-Hochberg FDR,0.05
PC1,16.377021237589418,Benjamini-Hochberg FDR,0.05
PC1,1.7938940434206074,Benjamini-Hochberg FDR,0.05
PC1,10.972832063008248,Benjamini-Hochberg FDR,0.05
PC1,23.539393161901458,Benjamini-Hochberg FDR,0.05
PC1,4.537162122621021,Benjamini-Hochberg FDR,0.05
